Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Full Description,Description,Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Company Type,Investor Type,Investment Stage,Categories,Funding Status,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Number of Investors,Acquisition Status,Number of Exits (IPO),Number of Portfolio Organizations,CB Rank (Investor),Trend Score (90 Days)
SkylineDx,https://www.crunchbase.com/organization/skylinedx,1,,"Rotterdam, Zuid-Holland, The Netherlands","SkylineDx is an emerging commercial-stage company focused on the development and commercialization of innovative gene signature-based diagnostic tests, which assist healthcare professionals in making personalized treatment decisions for individual patients. These tests are designed to accurately determine the type or status of the disease or to predict a patient’s response to a specific treatment. ","SkylineDx is a pioneer in the field of molecular diagnostics through developing and commercializing innovative, signature-based diagnostics.",$1M to $10M,Active,,,1/1/2005,year,,,,"Biotechnology, Health Care, Health Diagnostics",,9/2/2019,2,20000000,EUR,21927011,Venture - Series Unknown,20000000,EUR,21927011,20000000,EUR,21927011,1,,,1,"1,270",9.5
Advocate Aurora Health,https://www.crunchbase.com/organization/advocate-aurora-health,2,,"Milwaukee, Wisconsin, United States","One shared purpose brought them together. Now, as one of the 10 largest not-for-profit, integrated health systems in the United States, Their combined strength and stability drives them  forward.",Advocate Aurora Health is a Healthcare,,Active,,,,,,,,Health Care,,8/20/2019,1,10170000,USD,10170000,Grant,10170000,USD,10170000,,,,1,,,2,"2,077",8.7
Juvenescence,https://www.crunchbase.com/organization/juvenescence,9,1,"Douglas, NA - Isle of Man, Isle of Man","Juvenescence Limited is a British Virgin Islands-based holding company that invests in human aging and longevity. Juvenescence has raised USD $111M to build an ecosystem and pipeline of assets targeting aging, age-related disease and regeneration. Juvenescence believes that recent scientific and medical advances will enable the development of therapeutics that meaningfully extend human healthspan and eventually lifespan. A meaningful increase in lifespan in the already ageing world will have profound implications on all sectors of society, and in particular healthcare, education, insurance and leisure.","Juvenescence is a bio-pharma development company developing therapies focused on allowing people worldwide to live longer, healthier lives.",,Active,,,1/1/2016,year,,,,"Biopharma, Biotechnology, Pharmaceutical",Early Stage Venture,8/19/2019,3,100000000,USD,100000000,Series B,162300000,USD,162300000,162300000,USD,162300000,8,,1,8,304,-1
Inovio Pharmaceuticals,https://www.crunchbase.com/organization/inovio-pharmaceuticals,1,,"Blue Bell, Pennsylvania, United States","Inovio is revolutionizing vaccines to prevent and treat today's cancers and challenging infectious diseases. Its SynCon vaccines, in combination with its proprietary electroporation delivery, are generating best-in-class immune responses, with therapeutic T-cell responses exceeding other technologies in terms of magnitude, breadth, and response rate. Human data to date have shown a favorable safety profile. Inovio's lead vaccine, a therapeutic against HPV-caused pre-cancers and cancers, is in phase II. Other phase I and preclinical programs target prostate, breast, and lung cancers as well as HIV, influenza, malaria and hepatitis. Partners and collaborators include Roche, the University of Pennsylvania, Merck, NIH, HIV Vaccines Trial Network, National Cancer Institute, U.S. Military HIV Research Program, University of Southampton, US Dept. of Homeland Security, University of Manitoba and PATH Malaria Vaccine Initiative",Inovio is revolutionizing vaccines to prevent and treat today's cancers and challenging infectious diseases.,,Active,12/18/1998,day,1/1/1983,year,For Profit,,,"Biotechnology, Health Care, Therapeutics",IPO,8/6/2019,7,18000000000,KRW,14843429,Post-IPO Debt,203983429,USD,203983429,135500000,USD,135500000,3,Made Acquisitions,,1,"1,054",-2.6
BioSTL,https://www.crunchbase.com/organization/biostl,1,,"St Louis, Missouri, United States","BioSTL builds regional capacity and fosters collaborative efforts to advance innovation, entrepreneurship, and new company creation that capitalize on St. Louis’ world-class medical and plant biosciences. Through its work, BioSTL promotes economic growth and regional prosperity.","BioSTL builds regional capacity and fosters collaborative efforts to advance innovation,",$1M to $10M,Active,,,1/1/2011,year,,,,"Biotechnology, Life Science, Medical",,8/6/2019,3,1500000,USD,1500000,Grant,31600000,USD,31600000,,,,2,,,1,"3,720",2.6
University of Connecticut,https://www.crunchbase.com/organization/university-of-connecticut-storrs,1,,"Storrs Mansfield, Connecticut, United States","Home to more than 30,000 students, 1,300 faculty, 214,000 proud alumni, and a handsome husky named Jonathan.","Home to more than 30,000 students, 1,300 faculty, 214,000 proud alumni, and a handsome husky named Jonathan.",,Active,,,1881-01-01,year,,,,"Education, Health Care, Universities",Seed,8/1/2019,3,2250000,USD,2250000,Grant,11890000,USD,11890000,9640000,USD,9640000,2,,,1,"1,134",-1.2
BioGenerator,https://www.crunchbase.com/organization/biogenerator,51,1,"St Louis, Missouri, United States","The BioGenerator, the non-profit venture development organization of BioSTL, facilitates the formation of successful, sustainable bioscience companies in the St. Louis region. It provides start-up bioscience companies with pre-seed and seed investment funds, shared lab space with specialized equipment, and in-depth management support.",BioGenerator is a Missouri-based venture development organization providing startup bioscience companies with seed investment.,,Active,,,1/1/2003,year,,Incubator,"Debt, Early Stage Venture, Grant, Seed","Biotechnology, Incubators, Pharmaceutical",,7/30/2019,1,750000,USD,750000,Grant,750000,USD,750000,,,,1,,1,36,"3,269",7.6
HC Surgical Specialist,https://www.crunchbase.com/organization/hc-surgical-specialist,2,,"Singapore, Central Region, Singapore","HC Surgical Specialists Limited (“HCSS”, and together with its subsidiaries, the “Group”) is a medical services group primarily engaged in the provision of endoscopic procedures, including gastroscopies and colonoscopies, and general surgery services with a focus on colorectal procedures across a network of clinics located throughout Singapore.   Starting out almost a decade ago, HCSS’ vision is to build an organization dedicated to making private healthcare accessible to the broadest consumer base possible. Supported by a team of highly-qualified specialists, each with extensive experience, we currently have 12 clinics that are situated close to the public transportation network. These clinics are located around central Singapore as well as in residential areas, including the heartlands. A few of our clinics are situated within some of the major private hospitals in Singapore.   We are also building up our regional experience. The Group has entered into a Memorandum of Understanding with an independent party, to provide consultancy and training services at the Transport Hospital in Hanoi, Vietnam, where our specialist surgeons will be registered to practice at the Transport Hospital. The Group will also assist Transport Hospital in establishing a day surgery and endoscopy centre, where our specialist surgeons will have exclusive rights to perform surgical and endoscopic procedures for a stipulated period of time.",HC Surgical Specialist is a medical services group primarily engaged in the provision of endoscopic procedures.,,Active,11/4/2016,day,9/1/2015,day,For Profit,,,Health Care,IPO,7/29/2019,1,3650000,USD,3650000,Post-IPO Equity,3650000,USD,3650000,3650000,USD,3650000,1,Made Acquisitions,,2,"4,981",7.9
MEDIHERE,https://www.crunchbase.com/organization/medihere,,,"Seoul, Seoul-t'ukpyolsi, South Korea","DoctorHere - Find Skilled Doctors and Get the Best Caer [ http://doctorhere.kr/ ] - Find Skilled Doctors and Hospitals, Reviews and Online appointments - We recommend skilled doctors who is optimized for the patient's diseases and needs with deep learning Tech. - Provides real-time medical appointment schedule information for doctors to help patients to make quick appointments and treatments. - Real-time collection, validation, and analysis of healthcare information provided to patients provides transparent and objective information.",We solve the asymmetry problem of medical information by efficiently connecting doctors and patients in DoctorHere Medical O2O Web Platform.,,Active,,,4/26/2018,day,For Profit,,,"Big Data, Content, E-Commerce, E-Commerce Platforms, Health Care, Information Services, Information Technology, Internet, Medical, Wellness",Seed,7/25/2019,4,577405,USD,577405,Seed,805171,USD,805171,805171,USD,805171,5,,,,"4,616",4.1
Northwestern University,https://www.crunchbase.com/organization/northwestern-university,5,1,"Evanston, Illinois, United States","For a bachelor’s, master’s, or doctorate degree from a school with history and prestige, look no further than Northwestern University, a Big Ten school located in Evanston, Illinois. Northwestern is a large school and features many different areas of study. Though the school is known for its strong arts programs, many students also enroll in science, engineering, and medical fields. Programs include Biological Sciences, Computer Engineering, Drama, Earth and Planetary Sciences, Film and Media Studies, Integrated Marketing Communication, Journalism, Performance Studies, Sociology, and Theatre, as well as many others. Don’t allow the idea of tuition keep you from attending school. In the financial aid options, counselors can point you toward loans, grants, and work-study programs. There are also many scholarships to choose from including the Northwestern University Scholarship. The annual job fairs aren’t the only resource for students looking to find employment. There are also internship and job listings, as well as programs to explore majors and career options. If Evanston isn’t convenient to you, Northwestern also has a campus in Chicago and even a new satellite campus in Qatar for those studying overseas. As far as student life goes, NU is the place to be. Northwestern University has over 200 extracurricular groups for students be involved in their interests and socialize with others. There is also a museum, concert hall, cinema, and theater for daily entertainment, and a strong athletic program.","Kellogg School of Management, Northwestern University",,Active,,,1851-01-28,day,,University Program,,"EdTech, Education, Health Care, Training, Universities",,7/23/2019,3,7500000,USD,7500000,Grant,19200000,USD,19200000,,,,2,,1,4,266,-1.2
Stanford University,https://www.crunchbase.com/organization/stanford-university,81,29,"Stanford, California, United States","Stanford University makes a great fit for the academically driven student. Few colleges can match the breadth, excellence and prestige of Stanford’s academics, both at the undergraduate and graduate levels. Whether your interests lie in English, medicine or anything in-between, you can find a top-ranked program at Stanford. The university is organized into seven schools: * Business * Earth Sciences * Education * Engineering * Humanities & Sciences * Law * Medicine Student life at Stanford is quite active, due in part to the 11,000+ students living on campus. Art is a strong presence at Stanford, fostered by Stanford Lively Arts, the Cantor Center for Visual Arts and numerous student clubs and organizations. Stanford also features extensive athletic programs, including more than 35 varsity sports and about 20 clubs sports. In order to maintain its high standards, Stanford University has extremely selective admissions. The university admits undergraduates based on a combination of academic achievement, intellectual curiosity and personal experience. Graduate admissions criteria and application procedures vary based on the program of study. Undergraduates at Stanford have access to a variety of financial aid opportunities, including institutional scholarships, grants from the government and student employment. Graduate students can receive financial aid through fellowships and grants, but funding is typically not available for master’s students.",Stanford University is one of the world's leading teaching and research universities.,,Active,,,1885-11-11,day,,University Program,,"Biotechnology, Communities, Computer, Education, Management Consulting, Market Research, Mobile Apps, Service Industry, Universities, Virtual Reality",,7/22/2019,1,5000000,USD,5000000,Grant,5000000,USD,5000000,,,,,,29,74,34,9.1
Yale University,https://www.crunchbase.com/organization/yale-university,5,,"New Haven, Connecticut, United States","Yale University comprises three major academic components: Yale College (the undergraduate program), the Graduate School of Arts and Sciences, and the professional schools. In addition, Yale encompasses a wide array of centers and programs, libraries, museums, and administrative support offices. Approximately 11,250 students attend Yale. watch ant-man and the wasp online free HD",Yale University is an American private Ivy League research university in New Haven in Connecticut.,Less than $1M,Active,,,1701-10-09,day,,University Program,,"Association, Biotechnology, Business Development, Education, Health Care, Medical, Social Entrepreneurship",,7/22/2019,2,2200000,USD,2200000,Grant,17200000,USD,17200000,,,,,,,5,197,-0.7
University of North Carolina at Chapel Hill,https://www.crunchbase.com/organization/university-of-north-carolina,3,1,"Chapel Hill, North Carolina, United States","Carolina’s vibrant people and programs attest to the University’s long-standing place among leaders in higher education since it was chartered in 1789 and opened its doors for students in 1795 as the nation’s first public university. Situated in the beautiful college town of Chapel Hill, N.C., UNC has earned a reputation as one of the best universities in the world. Carolina prides itself on a strong, diverse student body, academic opportunities not found anywhere else, and a value unmatched by any public university in the nation. UNC-Chapel Hill, the nation’s first public university, ranks among the world’s leading research universities. A member of the prestigious Association of American Universities, Carolina regularly ranks as the best value for academic quality in U.S. public higher education. Now in its third century, the University offers 78 bachelor’s, 112 master’s, 68 doctorate and seven professional degree programs through 14 schools and the College of Arts and Sciences. More than 29,000 undergraduate, graduate and professional students learn from a faculty of 3,600. Every day, faculty, staff and students shape their teaching, <a href=""https://www.dissertationcorp.co.uk/"">Dissertation Help</a> , research and public service to meet North Carolina’s most pressing needs in all 100 counties. Carolina’s 282,886 alumni live in all 50 states and more than 140 countries.",Carolina’s vibrant people and programs attest to the University’s long-standing place among leaders in higher education since it was founded,,Active,,,1789-12-11,day,,University Program,,"Art, Education, Health Care, Higher Education, Search Engine, Universities",,7/22/2019,3,5000000,USD,5000000,Grant,16950000,USD,16950000,,,,2,,1,2,543,-1.1
Apollo Hospitals Enterprise,https://www.crunchbase.com/organization/apollo-hospitals-enterprise,3,,"Chennai, Tamil Nadu, India","Apollo Hospitals is widely recognized as the pioneer of private healthcare in India, and was the country’s first corporate hospital. The Apollo Hospitals Group, which started as a 150-bed hospital and today, operates 9200 beds across 64 hospitals. A forerunner in integrated healthcare, Apollo has a robust presence across the healthcare spectrum. The Group has emerged as the foremost integrated healthcare provider in Asia, with mature group companies that specialize in insurance, pharmacy, consultancy, clinics and many such key touch points of the ecosystem. The Apollo Group has touched the lives of over 45 million patients, from 121 countries.",Apollo Hospitals is a premium multi-specialty hospital of India and is one of the largest integrated healthcare groups.,,Active,7/5/2002,day,1/1/1983,day,For Profit,,,"Health Care, Health Diagnostics, Medical",IPO,7/19/2019,2,10000000000,INR,145054721,Post-IPO Debt,245054721,USD,245054721,100000000,USD,100000000,2,Made Acquisitions,,2,"1,627",9.1
Asabys Partners,https://www.crunchbase.com/organization/asabys-partners,3,,"Barcelona, Catalonia, Spain","Asabys Partners is a venture capital firm that invests across the board in human healthcare. The company is active in the health-tech and biopharma industries and aims to invest in Spain and abroad in innovative and transformative technologies. Asabys Partners are motivated by the idea of pushing the boundaries of science and medicine. This is done through the sourcing and financing of the most disruptive technologies, and through the collaboration with the best internal and external talents of our industry.","Asabys Partners is based in Barcelona and specialises in early-stage biotech, medical technology and healthcare innovation projects.",,Active,,,5/1/2018,day,,Venture Capital,,"Biopharma, Biotechnology, Health Care, Life Science, Medical, Medical Device, Pharmaceutical",,7/17/2019,1,,,,Secondary Market,,,,,,,1,,,3,"10,438",-0.5
COFCO,https://www.crunchbase.com/organization/cofco,2,,"Beijing, Beijing, China","COFCO is the largest supplier of diversified products and services in the agricultural products and food industry in China. It is devoted to utilizing renewable natural resources to provide healthy and nutritious food, high quality lifestyle and services, as well as contributing to improve people’s living standards, social prosperity and stability. COFCO plays a pivotal role as a bridge in the markets of edible oils and foodstuff between China and the world, and serves as the main importing and exporting channel for bulk agricultural products such as wheat, corn, rice and sugar. As an investment holding company specialized in trade and processing of oil and foodstuff as well as other businesses, COFCO continuously strives to upgrade its oil and foodstuff chains, which include those of oils and oilseeds, corn, wheat, rice, wine, tomatoes, dairy products, meat, barley, tea, chocolate and various other products. In light of China's economic growth, return on shareholders’ value and available business resources, COFCO is also involved in the development of real estate, hotels, non-grain bio-energy, packaging, finance and other industries.",COFCO is the largest supplier of diversified products and services in the agricultural products and food industry in China.,$10B+,Active,,,1/1/1949,year,For Profit,,,"Agriculture, Biotechnology, Food Processing, Oil and Gas",,7/16/2019,4,2100000000,USD,2100000000,Debt Financing,7900000000,USD,7900000000,,,,7,Made Acquisitions,,2,"1,956",0.5
Galapagos,https://www.crunchbase.com/organization/galapagos,1,,"Mechelen-bovelingen, Limburg, Belgium","Galapagos (Euronext: GLPG; OTC: GLPYY) is a mid-size biotechnology company specialized in the discovery and development of small molecule and antibody therapies with novel modes-of-action. The Company is progressing one of the largest pipelines in biotech, with six clinical and over 50 small molecule discovery/pre-clinical programs. Through risk/reward-sharing alliances with GlaxoSmithKline, Lilly, Janssen Pharmaceutica, Merck & Co., Roche and Servier, Galapagos is eligible to receive up to â‚¬3.3 billion in downstream milestones, plus royalties. The Galapagos Group has over 800 employees and operates facilities in seven countries, with global headquarters in Mechelen, Belgium.",Galapagos is a clinical stage biotech company focused on developing novel medicines.,,Active,10/5/2017,day,1/1/1999,year,For Profit,,,"Biopharma, Biotechnology, Clinical Trials, Medical",IPO,7/14/2019,14,5100000000,USD,5100000000,Post-IPO Equity,5446287151,USD,5446287151,5418629236,USD,5418629236,6,Made Acquisitions,,1,"1,453",-1.6
SleepCogni,https://www.crunchbase.com/organization/sleep-cogni,,,"Sheffield, Sheffield, United Kingdom"," SleepCogni is developing a product that delivers a unique wind down process to promote sleep. We deliver cognitive behaviorial therapy using biofeedback (through visual, auditory and tactile cues) to help you relearn sleep. The personalised biofeedback is based on the measurement of a range of physiological and behavioural measures related to sleep, to swiftly and effectively guide you towards sleep initiation. ",SleepCogni is an award-winning British medical device start-up company at the forefront of personalised health technology for Insomnia.,$1M to $10M,Active,,,1/1/2015,year,For Profit,,,"Fitness, Health Care, Manufacturing, Medical Device, Wellness",Seed,7/10/2019,3,234000,GBP,292642,Grant,1569284,USD,1569284,485000,GBP,591167,3,,,,"4,124",-1.7
Sol Global investments,https://www.crunchbase.com/organization/scythian-biosciences,4,2,"Calgary, Alberta, Canada","SOL is an international cannabis company with a focus on legal U.S. states. Its strategic investments and partnerships across cultivation, distribution and retail complement the company’s R&D program with the University of Miami. It is this comprehensive approach that is positioning SOL as a future frontrunner in the United States’ medical cannabis industry.",SOL is an international cannabis company with a focus on legal U.S. states.,,Active,1/4/2019,day,1/1/2014,year,For Profit,Private Equity Firm,,"Biotechnology, Health Care, Pharmaceutical",IPO,7/8/2019,2,50000000,USD,50000000,Post-IPO Debt,50170228,USD,50170228,170228,USD,170228,,Made Acquisitions,2,4,"1,983",-1.7
Lepu Bio,https://www.crunchbase.com/organization/lepu-bio,1,,"Shanghai, Shanghai, China",,Lepu Bio is a biotech company.,,Active,,,1/1/2018,year,,,,"Biotechnology, Health Care",Early Stage Venture,7/2/2019,1,131000000,USD,131000000,Series A,131000000,USD,131000000,131000000,USD,131000000,1,,,1,"3,599",-2.5
4SC,https://www.crunchbase.com/organization/4sc,2,,"Planegg, Bayern, Germany","4SC discovers and develops targeted, small-molecule drugs for the treatment of cancer and autoimmune diseases in indications with high unmet medical needs. These drugs are intended to provide innovative treatment options that are more tolerable and efficacious, and provide a better quality of life.","4SC discovers and develops targeted, small-molecule drugs for the treatment of cancer and autoimmune diseases.",,Active,1/14/2011,day,1/1/1997,year,For Profit,,,"Biopharma, Biotechnology, Therapeutics",IPO,6/28/2019,7,11000000,EUR,12517068,Post-IPO Equity,72300000,EUR,76433494,68800000,EUR,73091142,9,,,2,"2,921",-1.8
Miaoshou Doctor,https://www.crunchbase.com/organization/miaoshou-doctor,2,,"Beijing, Beijing, China","Miaoshou Doctor is a healthcare service platform for building an online communication service platform between patients and doctors. The company was founded in 2015 and is based in Beijing, China.",Miaoshou Doctor is a healthcare service platform for building an online communication service platform between patients and doctors.,,Active,,,1/1/2015,year,,,,"Health Care, Medical, mHealth",Late Stage Venture,6/27/2019,3,,,,Series C,152615298,USD,152615298,152615298,USD,152615298,5,,,2,"4,209",-1.6
