investor_name,Number of Investments,Location,Full Description,Exit Date,Categories,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Liquidity Event Score,Funding Date Score,Total Score,Rank
Verily,7,"San Francisco, California, United States","Verily aspires to create a world in which technology and life sciences are not distinct, but partners with a united mission. Formerly Google Life Sciences, Verily's mission is to bring together technology and life sciences to uncover new truths about health and disease. Verily's multidisciplinary teams have access to advanced research tools, large-scale computing power, and unique technical expertise. They work with partners from across the industry and many fields of research to develop new technology, launch studies, and start companies.",,"Biotechnology, Data Mining, Health Care, Information Technology, Personal Health",1/3/2019,1000000000,Private Equity,0,77,1000000077,11
Boston Scientific,38,"Marlborough, Massachusetts, United States","Boston Scientific is a leading innovator of medical solutions that improve the health of patients around the world. Boston Scientific's products and technologies are used to diagnose or treat a wide range of medical conditions, including heart, digestive, pulmonary, vascular, urological, women's health and chronic pain conditions.  Boston Scientific's journey of innovation began in 1979, when their revolutionary steerable catheters were first used in less-invasive procedures. Today, Boston Scientific continues their legacy of delivering meaningful innovation to meet patient needs around the world and deliver economic value to their customers.  Boston Scientific has advanced the practice of less-invasive medicine by providing a broad and deep portfolio of innovative products, technologies and services across a wide range of medical specialties. These less-invasive medical technologies provide alternatives to major surgery and other medical procedures that are typically traumatic to the body. In less-invasive procedures, devices are usually inserted into the body through natural openings or small incisions and can be guided to most areas of the anatomy to diagnose and treat a wide range of medical problems.  Boston Scientific continues to innovate in these areas and are extending their innovations into new geographies and high-growth adjacency markets. Boston Scientific is dedicated to transforming lives through innovative medical solutions that improve the health of patients around the world.  Boston Scientific acts with integrity and compassion to support patients, customers, our communities and each other. Boston Scientific fosters an environment of creativity to transform new ideas into breakthrough services and solutions that create value for patients, customers and employees.  Boston Scientific strives for high performance to benefit their patients, clinicians and shareholders and they work collaboratively to pursue global opportunities that extend the reach of their medical solutions.",5/29/1992,"Health Care, Manufacturing, Medical, Medical Device",2/27/2018,1000000000,Post-IPO Debt,0,0,1000000000,12
LabCorp,20,"Burlington, North Carolina, United States","Labcorp specializes in providing physicians with laboratory tests.  They develop new tests that provide enhanced accuracy and additional clinical information.  Their customers include physicians and their patients, hospitals and managed care plans, private employers, military and law enforcement agencies, and pharmaceutical and biotechnology companies.",7/15/1988,"Biotechnology, Education, Health Care, Innovation Management, Medical",6/4/2019,850000000,Post-IPO Debt,0,229,850000229,13
Nektar Therapeutics,1,"San Carlos, California, United States","Nektar Therapeutics is a biopharmaceutical company developing a robust pipeline of novel therapeutics based on its advanced polymer conjugate chemistry technology platform. Nektar also partners with the top biopharmaceutical companies to bring new products to market. To date, Nektar's technology and drug development expertise have enabled nine approved products for partners, which include leading biopharmaceutical companies.",5/13/1994,"Biotechnology, Health Care, Therapeutics",4/3/2018,849999960,Post-IPO Equity,0,0,849999960,14
Envision Healthcare,1,"Nashville, Tennessee, United States","Envision Healthcare offers an array of healthcare-related services to consumers, hospitals, healthcare systems, health plans and local, state and national government entities. Envision Healthcare is a provider of physician-led, outsourced medical services. We provide a broad range of coordinated, clinically-based care solutions across the continuum of care, from medical transportation to hospital encounters to comprehensive care alternatives in various settings.",8/14/2013,"Health Care, Health Diagnostics, Hospital, Medical",6/18/2014,750000000,Post-IPO Equity,0,0,750000000,15
Salix Pharmaceuticals,1,"Raleigh, North Carolina, United States","Salix Pharmaceuticals is a specialty pharmaceutical company committed to the prevention and treatment of gastrointestinal (GI) disorders. For more than 20 years, they have licensed, developed, and marketed innovative products to treat GI problems. It's their mission to give healthcare providers and patients the most effective solutions in gastroenterology.",11/20/2000,"Health Care, Medical, Pharmaceutical",12/27/2013,750000000,Debt Financing,0,0,750000000,15
Clover Health,,"Jersey City, New Jersey, United States","Clover Health is reinventing the health insurance model by integrating technology into every aspect of its members’ healthcare. The Clover data and analytics platform uses continuous, real-time monitoring to prevent hospital admissions, reduce avoidable spending, and identify and better manage chronic diseases.",,"Health Care, Health Insurance, Hospital",1/29/2019,500000000,Series E,0,103,500000103,17
Vertex Pharmaceuticals,2,"Boston, Massachusetts, United States","Vertex Pharmaceuticals Incorporated is a global biotechnology company committed to the discovery and development of breakthrough small molecule drugs for serious diseases. The Company's strategy is to commercialize its products both independently and in collaboration with major pharmaceutical companies. Vertex's product pipeline is focused on viral diseases, cystic fibrosis, inflammation, autoimmune diseases, cancer, and pain.",8/2/1991,"Biotechnology, Medical, Pharmaceutical",12/3/2009,443000000,Post-IPO Equity,0,0,443000000,18
Oscar Health,1,"New York, New York, United States","Oscar is a health insurance company that employs technology, design, and data to humanize health care. The company offers plans to individuals, couples, and families living in parts of New York, New Jersey, California, and Texas who don’t receive health insurance from an employer. Founded in 2012, Oscar Health is headquartered in New York, New York, United States.",,"Health Care, Health Insurance, Information Technology, Insurance, InsurTech",8/14/2018,375000000,Corporate Round,0,0,375000000,19
Dollar Tree,1,"Chesapeake, Virginia, United States","Dollar Tree is a chain of discount stores that carries a variety of merchandise including housewares, glassware, dinnerware, cleaning supplies, candy, snacks, food, health and beauty, toys, gifts, gift bags and wrap, party supplies, stationery, craft supplies, teaching supplies, books, seasonal décor, and more for $1 or less.",3/17/1995,"E-Commerce, Family, Food and Beverage, Health Care, Retail, Service Industry",1/7/2019,370000000,Post-IPO Equity,0,81,370000081,20
Teva Pharmaceutical Industries,9,"Petah Tiqva, HaMerkaz, Israel","Teva Pharmaceutical Industries Ltd. is a global pharmaceutical company specializing in the development, production and marketing of generic and proprietary branded pharmaceuticals and active pharmaceutical ingredients. Teva is among the top 20 pharmaceutical companies and among the largest generic pharmaceutical companies in the world.",2/26/1982,"Biotechnology, Health Care, Medical, Pharmaceutical",2/14/2018,358000000,Post-IPO Equity,0,0,358000000,21
Integra LifeSciences,1,"Plainsboro, New Jersey, United States","Integra LifeSciences Holdings Corporation (Integra) is an integrated medical device company. The products include implants, instruments and equipment for orthopedic surgery, neurosurgery and general surgery. Integra's orthopedic products include devices and implants for foot and ankle, hand and wrist, tendon and peripheral nerve protection and repair, wound repair and spine. Integra is a cranial neurosurgery, offering a portfolio of implants, devices, instruments and systems used in neurosurgery, neuromonitoring, neurotrauma, and related critical care. In the United States, Integra provides surgical instruments to hospitals, surgery centers and alternate care sites, including physician and dental offices. The Company sells products in three market categories: Orthopedics, Neurosurgery and Instruments. In May 2011, it acquired SeaSpine, Inc.",8/25/1995,"Biotechnology, Life Science, Medical, Medical Device",5/15/2018,350000000,Post-IPO Equity,0,0,350000000,22
Dexcom,1,"San Diego, California, United States","DexCom, Inc. is a leader in continuous glucose sensing technologies, and focuses 100% on these technologies. Founded in 1999, DexComâ€™s roots stem from the pioneering 1967 research on implanted glucose sensors at the University of Wisconsin. DexCom started with a focus on creating an implantable Sensor that the body would not reject and that would perform for a long period of time.",4/14/2005,"Enterprise Software, Hardware, Health Care",5/9/2017,350000000,Post-IPO Debt,0,0,350000000,22
BGI Genomics,7,"Shenzhen, Guangdong, China","Shenzhen Huada Gene Technology Co. Ltd. operates as a biotech development company. The Company provides bioinformatics testing, genetic testing, agricultural genomics researching, proteomics researching, and other services. Shenzhen Huada Gene Technology conducts business in China.",,"Bioinformatics, Biotechnology, Genetics, Health Care, Life Science, Medical, Pharmaceutical",6/1/2015,323508593,Venture - Series Unknown,0,0,323508593,24
arGEN-X,1,"Rotterdam, Zuid-Holland, The Netherlands","To this end, arGEN-X has invented and developed a breakthrough discovery platform setting the new standard for antibody lead choice in the discovery of human antibody therapeutics. Fuelled by the best possible natural immune responses available, our Simple Antibodyâ„¢ platform leapfrogs existing platforms in what is probably the most critical aspect of drug discovery and development: lead choice.",5/17/2017,"Biotechnology, Clinical Trials, Therapeutics",9/19/2018,300600000,Post-IPO Equity,0,0,300600000,25
Mediclinic International,1,"Stellenbosch, NA - South Africa, South Africa","Mediclinic is a private hospital group with three operating platforms in Southern Africa (South Africa and Namibia), Switzerland and the United Arab Emirates. Its core purpose is to enhance the quality of life of patients by providing cost-effective acute care specialised hospital services.",10/10/2003,"Health Care, Hospital, Medical",6/12/2014,300000000,Post-IPO Equity,0,0,300000000,26
BridgeBio,5,"Palo Alto, California, United States",BridgeBio is a company that focuses on genetic disease therapies and develops those assets with the right approach in supporting R&D.,6/26/2019,"Biotechnology, Life Science, Medical",1/23/2019,299200000,Series D,251,97,299200348,27
Ginkgo Bioworks,4,"Boston, Massachusetts, United States","Ginkgo Bioworks designs, engineers, develops, tests, and licenses organisms. It discovers molecules in flavors, sweeteners, cosmetic ingredients, crop treatments, and pharmaceuticals.  Gingko Bioworks also provides probiotic bacteria to protect the body from dangerous infections, and it generates libraries of molecules. It serves cultured ingredients, carbon mitigation, probiotics, and natural product discovery markets.  Tom Knight, Reshama Shetty, Jason Kelly, Barry Canton, and Austin Che founded Ginkgo Bioworks in 2009. Its headquarters in Boston in Massachusetts.",,"Alternative Medicine, Biopharma, Biotechnology, Chemical, Health Care, Life Science, Medical, Nutrition",9/19/2019,290000000,Series E,0,336,290000336,28
Brii Biosciences,1,"San Francisco, California, United States","Brii Biosciences is committed to bringing innovative medicines to China as a way to improve public health. They bring together clinically differentiated assets to meet this challenge, supported by world-class leadership, advisors, partners, and funders. The pace of innovation has accelerated over the past decade, resulting in dramatically better treatments and cures for life-threatening diseases. Unfortunately, these innovations have not always reached China or the patients in China who need them. Breakthroughs in science and technology, and advances in digital and data capabilities, are poised to disrupt the discovery, development and delivery of medicines. At the same time, the regulatory environment in China has improved significantly. There has never been a better time to take on the challenge of transforming healthcare in the People’s Republic of China and make the latest medicines more accessible to patients.",,"Biotechnology, Health Care, Innovation Management, Pharmaceutical",5/24/2018,260000000,Venture - Series Unknown,0,0,260000000,29
Aier Eye Hospital Group,1,"Changsha, Jiangsu, China","Aier Eye Hospital Group offers surgery for myopia; prevention and treatment for myopia; treatment for cataract, glaucoma, pediatric ophthalmology, fundus disease, lacrimal disease, and cornea and ocular surface; and eye shaping beauty services.",11/6/2009,"Health Care, Medical",9/3/2019,258392389,Post-IPO Equity,0,320,258392709,30
Abcam,,"Cambridge, Cambridgeshire, United Kingdom","Abcam is a producer and distributor of high quality research-grade antibodies and associated proteomics research products; antibodies are essential tools for life scientists that enable them to analyse components of living cells at the molecular level.   Since it was founded in 1998 by Dr. Jonathan Milner, Abcam has enjoyed rapid growth and is widely accredited as a leading company in its industry, with annualized turnover in excess of Â£60 million and growing.  Headquartered in Cambridge (UK), Abcam has subsidiaries in Cambridge and Eugene (US), Tokyo (Japan) and Hong Kong (China), allowing them to serve a global customer base of over 75 countries.  Abcam revolutionized the buying of antibodies via its website and their online catalogue consists of tens of thousands of products, supported by hundreds of thousands of pages of accompanying data.  This includes a growing range of non-antibody products such as proteins, peptides, lysates, immunoassays and other kits, which will continue as the business expands in the broader protein detection and regulation market.  A key component in the success of Abcam comes from the speed with which it can bring products to market and itâ€™s customer support efficiency.  This enables scientists to find products with specific characteristics quickly, thus speeding up the pace of research into important diseases like cancer and coronary heart disease.  Abcamâ€™s in-house expertise means they are able to source products and supplementary resources for the newest and fastest growing research areas such as Cancer, Cardiovascular, Chromatin, Immunology, Neuroscience and Stem Cells.",9/5/2008,"Biotechnology, E-Commerce, Events, Medical",5/15/2019,256936647,Post-IPO Equity,0,209,256936856,31
NantOmics,1,"Culver City, California, United States","NantOmics, a molecular diagnostics company, develops molecular profiling solutions that identify personalized treatment options for cancer patients and their providers at the point of care. It offers GPS Cancer test that provides molecular profile of patient’s cancer to inform personalized treatment strategies to oncologists and OncoPlexDx Targeted Proteomic panel that provides quantitative protein biomarker information for multiple clinically relevant proteins yielding insights into the biology driving the growth of the patient’s cancer.  Patrick Soon-Shiong founded NantOmics in 2012, with its headquarters in Culver City in California. NantOmics operates as a subsidiary of NantWorks.",,"Alternative Medicine, Biotechnology, Cloud Data Services, Genetics, Life Science",6/1/2015,250800000,Series A,0,0,250800000,32
Bluebird Bio,1,"Cambridge, Massachusetts, United States","Genetix Pharmaceuticals Renamed bluebird bio bluebird bio, formerly Genetix Pharmaceuticals, specializes in gene therapy, looking to develop breakthrough treatments for severe genetic disorders. The company's platform treats the cause of genetic diseases by placing a healthy gene into the patient's extracted bone marrow stem cells, and transplanting these corrected stem cells back into the patient. bluebird's lead clinical product is Lenti-D for Adrenoleukodystrophy (ALD), also known as Lorenzo's Oil disease, which is now in clinical development.  The results of the ongoing ALD trial, based upon work conducted by the French National Institute of Health and Medical Research (INSERM), were named to Science Magazine's ""Scientific Breakthroughs of 2009."" bluebird has in-licensed the technology from INSERM, and plans to initiate pivotal studies in both the U.S. and Europe. In addition to ALD, bluebird is conducting Phase I/II trials with its LentiGlobin®  product in Thalassemia, one of the most prevalent human genetic disorders. To date, all patients receiving the full therapy with both products have been cured and are healthy.  The company's proprietary stem cell processing, GMP manufacturing and gene therapy vector technologies are also applicable to treating other genetic diseases.",6/19/2013,"Biotechnology, Genetics, Health Diagnostics, Pharmaceutical",12/7/2016,250000000,Post-IPO Equity,0,0,250000000,33
Red Ventures,3,"Fort Mill, South Carolina, United States","Red Ventures is a multi-billion-dollar portfolio of digital companies that specializes in bringing consumers and brands together. Through bespoke technology, integrated digital commerce and sales, distinguished partnerships, data science and original content from the company’s proprietary brands and marketplaces, Red Ventures provides better end-to-end consumer experiences throughout the buying cycle.  Headquartered in the Charlotte metro area, Red Ventures has more than 3,600 employees globally in offices across the US, UK and Brazil. Founded in 2000, Red Ventures employs 2,700 people across the Carolinas, Seattle, WA, and Sao Paulo, Brazil. We’ve been voted a “Best Place to Work” in Charlotte for 9 years running. Red Ventures uses data to optimize and improve the entire customer lifecycle - from demand generation to closing the sale. Unlike companies who specialize in either online marketing, telephone sales or building technology infrastructure, we have expertise in all three.",,"Advertising, Analytics, Digital Media, Financial Services, Health Care, Information Technology, Marketing, Marketing Automation, Media and Entertainment, SEO, Web Development",1/7/2015,250000000,Private Equity,0,0,250000000,33
B.Grimm,1,"Bangkok, Krung Thep, Thailand","B.Grimm is a multi-business corporation active in the fields of energy, building and industrial systems, healthcare, lifestyle, transport and real estate.",,"Health Care, Information Technology",2/26/2018,235000000,Debt Financing,0,0,235000000,35
Ligand Pharmaceuticals,3,"San Diego, California, United States","Ligand Pharmaceuticals Incorporated, a biotechnology company, focuses on the discovery and early-stage development of pharmaceuticals for the critical unmet medical needs in the United States. The company owns Pharmacopeia, Inc., a clinical development stage biopharmaceutical company. Pharmacopeia engages in the discovery and development of small molecule therapeutics to address significant medical needs. Pharmacopeia had a portfolio of clinical and preclinical candidates under development internally or by partners. Internal Product Development Programs Dual-Acting Angiotensin and Endothelin Receptor Antagonist (DARA) Program The company has a licensing agreement, or the DARA License Agreement, with Bristol-Myers Squibb (BMS), which provides it with a license under certain BMS patents with respect to worldwide development and commercialization of DARA (PS433540), as well as certain other compounds discovered by BMS that possess dual angiotensin and endothelin receptor antagonist, or DARA, activity. DARA has been studied in seven Phase I and two Phase II clinical studies, including a Phase II study in hypertensive patients. In February 2009, the company announced preliminary results of a Phase IIb study of DARA which compared 200 mg, 400 mg, and 800 mg doses of PS433540 versus placebo and irbesartan for 12-weeks in hypertensive patients. Selective Androgen Receptor Modulators (SARM) Research and Development Programs The company is developing tissue selective androgen receptor modulators, or SARMs, a class of non-steroidal, orally active molecules that modulate the activity of the androgen receptor in different tissues, providing a range of opportunities for the treatment of diseases and disorders in both men and women. LGD-2941, a SARM, was selected as a clinical candidate during its collaboration with TAP. As part of its joint development and research alliance with TAP Pharmaceutical Products, Inc. (TAP), the company exercised an option to select for development one compound and a back-up, LGD-3303 and LGD-3129, respectively, out of a pool of compounds available for development. The company filed an Investigational New Drug (IND) in December 2008 for LGD-4033. Chemokine Receptor (CCR1) program In February 2008, the company announced the nomination of PS031291 as a preclinical development compound from its internal chemokine receptor CCR1 program. PS031291 is a potent and highly selective antagonist at the chemokine receptor CCR1. Erythropoiein (EPO) Research Program The company is developing small molecule agonists for the EPO receptor. EPO stimulates the differentiation of bone marrow stem cells to form red blood cells. Various recombinant human EPO derivatives are marketed for the treatment of anemia due to renal failure or cancer chemotherapy (Aranesp, Epogen, Eprex, and Procrit). Selective Glucocorticoid Receptor Modulators (SGRM) Research and Development Program The company is developing SGRMs for inflammation, cancer indications and other therapeutic applications. Its studies of these compounds are in the research stage.",12/2/1994,"Biotechnology, Medical, Pharmaceutical",8/14/2014,225000000,Post-IPO Debt,0,0,225000000,36
Human Longevity,2,"San Diego, California, United States","Human Longevity, Inc. (HLI) is the genomic-based, health intelligence company empowering proactive healthcare and enabling a life better lived. HLI combines the largest database of genomic and phenotypic data with machine learning to drive discoveries and revolutionize the practice of medicine. HLI’s business areas include the HLI Health Nucleus, a genomic powered clinical research center which uses whole genome sequence analysis, advanced clinical imaging and innovative machine learning, along with curated personal health information, to deliver the most complete picture of individual health; HLIQ™ Whole Genome and HLIQ Oncology. For more information, please visit http://www.humanlongevity.com or http://www.healthnucleus.com.",,"Biotechnology, Genetics, Health Care, Health Diagnostics",4/5/2016,220000000,Series B,0,0,220000000,37
Tempus,3,"Chicago, Illinois, United States",Tempus is a technology company that has built an operating system to battle cancer. It is on a mission to redefine how genomic data is used in a clinical setting. Their goal is for each patient to benefit from the treatment of others who came before by enabling physicians to deliver personalized cancer care for patients through interactive analytical and machine learning platform.,,"Artificial Intelligence, Biotechnology, Clinical Trials, Health Care, Health Diagnostics, Information Technology, Medical, Software",5/30/2019,200000000,Series F,0,224,200000224,38
