Above 50,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year, raised_amount_usd 
no,biotech,USA,MI,Grand Rapids,Grand Rapids,/company/biosciences-research-commercialization-center,Biosciences Research & Commercialization Center,,,,unknown,,angel,9/30/2013,2013-09,2013-Q3,2013," $1,000,000.00 "
no,biotech,USA,NJ,Princeton,Princeton,/company/biostratum,BioStratum,,USA,NC,Raleigh-Durham,Durham,series-a,7/6/2007,2007-07,2007-Q3,2007," $3,300,000.00 "
no,biotech,USA,MD,Washington DC,Rockville,/company/biotechnology-and-biological-sciences-research-council-bbsrc,Biotechnology and Biological Sciences Research Council (BBSRC),,GBR,,Swindon,Swindon,other,9/23/2013,2013-09,2013-Q3,2013," $5,303,380.00 "
no,health,USA,MA,Boston,Cambridge,/company/blue-cross-blue-shield,Blue Cross Blue Shield,,,,unknown,,angel,9/12/2012,2012-09,2012-Q3,2012," $50,000.00 "
no,health,USA,NY,New York,New York,/company/blueprint-health-accelerator,Blueprint Health Accelerator,,,,unknown,,angel,1/1/2012,2012-01,2012-Q1,2012," $20,000.00 "
no,medical,USA,NC,Charlotte,Charlotte,/company/blueprint-health-accelerator,Blueprint Health Accelerator,,,,unknown,,angel,9/7/2013,2013-09,2013-Q3,2013," $400,000.00 "
no,biotech,USA,NY,New York,New York,/company/blueprint-health-accelerator,Blueprint Health Accelerator,,,,unknown,,angel,7/19/2011,2011-07,2011-Q3,2011," $20,000.00 "
no,biotech,USA,CA,SF Bay,Campbell,/company/boston-scientific,Boston Scientific,,USA,MA,Boston,Natick,series-c+,5/22/2009,2009-05,2009-Q2,2009," $30,000,000.00 "
no,biotech,USA,CA,SF Bay,Campbell,/company/boston-scientific,Boston Scientific,,USA,MA,Boston,Natick,series-b,10/23/2006,2006-10,2006-Q4,2006," $19,000,000.00 "
no,biotech,USA,CA,SF Bay,Redwood City,/company/boston-scientific,Boston Scientific,,USA,MA,Boston,Natick,series-c+,8/25/2005,2005-08,2005-Q3,2005," $23,000,000.00 "
no,medical,USA,OH,Cleveland,Willoughby,/company/boston-scientific,Boston Scientific,,USA,MA,Boston,Natick,series-a,7/18/2012,2012-07,2012-Q3,2012," $3,500,000.00 "
no,medical,USA,CA,Santa Barbara,Goleta,/company/boston-scientific,Boston Scientific,,USA,MA,Boston,Natick,series-c+,2/15/2013,2013-02,2013-Q1,2013," $27,300,000.00 "
no,biotech,USA,CA,SF Bay,San Francisco,/company/boston-scientific,Boston Scientific,,USA,MA,Boston,Natick,series-b,5/2/2013,2013-05,2013-Q2,2013," $9,787,000.00 "
no,biotech,USA,CA,Los Angeles,Valencia,/company/boston-scientific,Boston Scientific,,USA,MA,Boston,Natick,series-a,8/8/2013,2013-08,2013-Q3,2013," $30,607,151.00 "
no,medical,USA,CA,SF Bay,Mountain View,/company/brainlab,BrainLAB,software,DEU,,Feldkirchen,Feldkirchen,series-a,6/17/2011,2011-06,2011-Q2,2011," $3,150,000.00 "
no,biotech,USA,CA,SF Bay,Brisbane,/company/bristol-myers-squibb,Bristol-Myers Squibb,biotech,USA,NY,New York,New York,series-c+,8/5/2009,2009-08,2009-Q3,2009," $14,400,000.00 "
no,biotech,USA,CA,SF Bay,Brisbane,/company/bristol-myers-squibb,Bristol-Myers Squibb,biotech,USA,NY,New York,New York,venture,10/7/2009,2009-10,2009-Q4,2009," $14,400,000.00 "
yes,biotech,USA,ME,Boston,Cambridge,/company/british-petroleum,British Petroleum,other,USA,IL,Chicago,Warrenville,venture,8/6/2008,2008-08,2008-Q3,2008," $90,000,000.00 "
no,biotech,USA,CA,SF Bay,Hayward,/company/bvcf,BVCF,,,,unknown,,series-b,8/22/2013,2013-08,2013-Q3,2013," $25,000,000.00 "
no,health,USA,CA,SF Bay,San Francisco,/company/california-healthcare-foundation,California HealthCare Foundation,other,USA,CA,SF Bay,Oakland,other,1/4/2011,2011-01,2011-Q1,2011," $500,000.00 "
no,biotech,USA,CA,SF Bay,San Francisco,/company/california-healthcare-foundation,California HealthCare Foundation,other,USA,CA,SF Bay,Oakland,venture,11/19/2012,2012-11,2012-Q4,2012," $1,500,000.00 "
no,medical,USA,WA,Seattle,Seattle,/company/cambia-health-solutions,Cambia Health Solutions,biotech,USA,OR,Portland,Portland,venture,1/3/2013,2013-01,2013-Q1,2013," $8,600,000.00 "
no,biotech,USA,NY,West Hills,West Hills,/company/cannavest,CannaVest,,,,unknown,,series-a,3/7/2013,2013-03,2013-Q1,2013," $1,500,000.00 "
no,biotech,USA,PA,Philadelphia,Bristol,/company/cardinal-health,Cardinal Health,,USA,OH,Columbus,Dublin,series-a,3/31/2006,2006-03,2006-Q1,2006," $14,000,000.00 "
no,medical,USA,MA,Boston,Cambridge,/company/carnegie-mellon-university,Carnegie Mellon University,,USA,PA,Pittsburg,Pittsburgh,other,6/27/2012,2012-06,2012-Q2,2012," $100,000.00 "
no,medical,USA,WA,Seattle,Seattle,/company/catholic-health-initiatives,Catholic Health Initiatives,,,,unknown,,series-a,6/27/2012,2012-06,2012-Q2,2012," $14,000,000.00 "
no,biotech,USA,CA,SF Bay,San Carlos,/company/celgene,Celgene,biotech,USA,NJ,Summit,Summit,series-b,6/18/2010,2010-06,2010-Q2,2010," $12,000,000.00 "
yes,biotech,USA,MA,Boston,Cambridge,/company/celgene,Celgene,biotech,USA,NJ,Summit,Summit,series-c+,11/17/2011,2011-11,2011-Q4,2011," $78,000,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/company/celgene,Celgene,biotech,USA,NJ,Summit,Summit,series-c+,12/23/2011,2011-12,2011-Q4,2011," $30,000,000.00 "
no,biotech,USA,MA,Boston,Boston,/company/celgene,Celgene,biotech,USA,NJ,Summit,Summit,venture,2/9/2012,2012-02,2012-Q1,2012," $15,000,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/company/celgene,Celgene,biotech,USA,NJ,Summit,Summit,venture,10/3/2012,2012-10,2012-Q4,2012," $35,000,000.00 "
no,biotech,USA,PA,East Norriton,East Norriton,/company/celgene,Celgene,biotech,USA,NJ,Summit,Summit,series-c+,7/1/2013,2013-07,2013-Q3,2013," $33,600,000.00 "
yes,biotech,USA,MA,Boston,Boston,/company/celgene,Celgene,biotech,USA,NJ,Summit,Summit,venture,7/29/2013,2013-07,2013-Q3,2013," $100,000,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/company/cell-genesys,Cell Genesys,,USA,CA,SF Bay,Hayward,series-c+,6/22/2007,2007-06,2007-Q2,2007," $28,000,000.00 "
no,biotech,USA,CT,New Haven,New Haven,/company/celtic-therapeutics-holdings,Celtic Therapeutics Holdings,biotech,,,unknown,,series-a,7/31/2008,2008-07,2008-Q3,2008," $40,000,000.00 "
yes,medical,USA,CA,SF Bay,San Francisco,/company/cleveland-clinic,Cleveland Clinic,,USA,OH,Cleveland,Cleveland,series-c+,6/11/2010,2010-06,2010-Q2,2010," $60,000,000.00 "
no,biotech,USA,MA,Boston,Waltham,/company/clovis-oncology,Clovis Oncology,biotech,USA,CO,Denver,Boulder,venture,1/20/2012,2012-01,2012-Q1,2012," $4,000,000.00 "
no,health,USA,TX,Austin,Austin,/company/competitor-group-inc,Competitor Group,other,USA,CA,San Diego,San Diego,series-b,6/5/2012,2012-06,2012-Q2,2012," $9,000,000.00 "
no,biotech,USA,WA,Seattle,Seattle,/company/cowen-group,Cowen Group,,USA,NY,New York,New York,venture,9/24/2010,2010-09,2010-Q3,2010," $14,900,000.00 "
no,medical,USA,CA,Los Angeles,Culver City,/company/crocs,Crocs,,,,unknown,,series-a,7/2/2013,2013-07,2013-Q3,2013," $2,000,000.00 "
no,biotech,USA,MA,Boston,Beverly,/company/cummings-foundation,Cummings Foundation,,,,unknown,,other,6/25/2013,2013-06,2013-Q2,2013," $100,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/company/cyberonics,Cyberonics,,USA,TX,Houston,Houston,series-c+,10/5/2011,2011-10,2011-Q4,2011," $4,000,000.00 "
no,biotech,USA,MA,Boston,Lexington,/company/cytyc,Cytyc,biotech,USA,MA,Boston,Marlborough,venture,12/17/2009,2009-12,2009-Q4,2009," $500,000.00 "
no,biotech,USA,CA,SF Bay,San Francisco,/company/dean-foods,Dean Foods,cleantech,USA,TX,Dallas,Dallas,series-b,6/6/2007,2007-06,2007-Q2,2007," $10,000,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/company/debiopharm,Debiopharm Group,,CHE,,Lausanne,Lausanne,venture,2/12/2010,2010-02,2010-Q1,2010," $8,000,000.00 "
no,biotech,USA,IL,Chicago,Lincolnshire,/company/deerfield-management,Deerfield Management,,USA,NY,New York,New York,venture,3/4/2010,2010-03,2010-Q1,2010," $18,000,000.00 "
no,medical,USA,MA,Boston,Cambridge,/company/deerfield-management,Deerfield Management,,USA,NY,New York,New York,series-b,9/20/2012,2012-09,2012-Q3,2012," $42,500,000.00 "
yes,health,USA,CA,SF Bay,San Francisco,/company/deerfield-management,Deerfield Management,,USA,NY,New York,New York,series-c+,9/24/2013,2013-09,2013-Q3,2013," $70,000,000.00 "
no,health,USA,MA,Boston,Waltham,/company/delta-dental,Delta Dental,,,,unknown,,venture,7/2/2012,2012-07,2012-Q3,2012," $3,000,000.00 "
yes,health,USA,NY,New York,New York,/company/dst-global,DST Global,software,GBR,,Surbiton,"Surbiton, Surrey",series-c+,9/22/2011,2011-09,2011-Q3,2011," $75,000,000.00 "
no,health,USA,CA,Los Angeles,Irvine,/company/edbi-pte-ltd,EDBI,,,,unknown,,series-b,8/20/2013,2013-08,2013-Q3,2013," $5,000,000.00 "
no,biotech,USA,CT,New Haven,New Haven,/company/elm-street-ventures,Elm Street Ventures,,,,unknown,,angel,5/19/2013,2013-05,2013-Q2,2013," $650,000.00 "
no,biotech,USA,CT,New Haven,NEW HAVEN,/company/elm-street-ventures,Elm Street Ventures,,,,unknown,,series-a,9/26/2013,2013-09,2013-Q3,2013," $15,000,000.00 "
no,biotech,USA,MD,Washington DC,Rockville,/company/engineering-and-physical-sciences-research-council-epsrc,Engineering and Physical Sciences Research Council (EPSRC),,,,unknown,,other,9/23/2013,2013-09,2013-Q3,2013," $5,303,380.00 "
no,health,USA,NM,Albuquerque,Albuquerque,/company/ericsson,Ericsson,mobile,SWE,,Stockholm,Stockholm,series-b,9/15/2011,2011-09,2011-Q3,2011," $19,000,000.00 "
no,biotech,USA,CA,SF Bay,Palo Alto,/company/exploramed,ExploraMed,medical,USA,CA,SF Bay,Mountain View,series-a,8/21/2007,2007-08,2007-Q3,2007," $16,000,000.00 "
no,biotech,USA,CA,San Diego,Encinitas,/company/flint-hills-resources,Flint Hills Resources,,USA,KS,Wichita,Wichita,series-a,9/14/2010,2010-09,2010-Q3,2010," $9,400,000.00 "
no,biotech,USA,CA,San Diego,Encinitas,/company/flint-hills-resources,Flint Hills Resources,,USA,KS,Wichita,Wichita,series-b,1/17/2012,2012-01,2012-Q1,2012," $17,000,000.00 "
no,biotech,USA,ME,North Billerica,North Billerica,/company/flir-systems,FLIR Systems,hardware,USA,OR,Portland,Wilsonville,series-c+,3/9/2009,2009-03,2009-Q1,2009," $6,000,000.00 "
no,biotech,USA,NC,High Point,High Point,/company/forest-laboratories,Forest Laboratories,biotech,USA,NY,New York,New York,venture,6/8/2010,2010-06,2010-Q2,2010," $50,000,000.00 "
yes,biotech,USA,PA,Philadelphia,Wayne,/company/forest-laboratories,Forest Laboratories,biotech,USA,NY,New York,New York,venture,10/22/2012,2012-10,2012-Q4,2012," $125,000,000.00 "
yes,biotech,USA,PA,Philadelphia,King of Prussia,/company/forest-laboratories,Forest Laboratories,biotech,USA,NY,New York,New York,series-c+,5/9/2013,2013-05,2013-Q2,2013," $60,000,000.00 "
no,medical,USA,CA,SF Bay,Mountain View,/company/fundersclub,FundersClub,finance,USA,CA,SF Bay,San Francisco,angel,6/1/2013,2013-06,2013-Q2,2013,
no,biotech,USA,WA,Seattle,Seattle,/company/ge-healthcare,GE Healthcare,biotech,,,unknown,,series-c+,11/7/2011,2011-11,2011-Q4,2011," $20,000,000.00 "
no,medical,USA,TX,Dallas,Dallas,/company/ge-healthcare,GE Healthcare,biotech,,,unknown,,series-c+,12/11/2012,2012-12,2012-Q4,2012," $30,900,000.00 "
yes,biotech,USA,CA,SF Bay,Menlo Park,/company/gen-probe,Gen-Probe,biotech,USA,CA,San Diego,San Diego,series-c+,7/14/2010,2010-07,2010-Q3,2010," $109,000,000.00 "
no,biotech,USA,NJ,Warren,Warren,/company/gen-probe,Gen-Probe,biotech,USA,CA,San Diego,San Diego,series-c+,7/28/2011,2011-07,2011-Q3,2011," $20,000,000.00 "
no,biotech,USA,CA,SF Bay,Mountain View,/company/genentech,Genentech,biotech,USA,,TBD,,series-a,5/1/2007,2007-05,2007-Q2,2007," $9,000,000.00 "
yes,biotech,USA,MA,Boston,Cambridge,/company/genentech,Genentech,biotech,USA,,TBD,,venture,1/17/2012,2012-01,2012-Q1,2012," $95,000,000.00 "
no,health,USA,CA,SF Bay,San Francisco,/company/genentech,Genentech,biotech,USA,,TBD,,private-equity,6/1/2012,2012-06,2012-Q2,2012," $4,000,000.00 "
no,health,USA,CA,SF Bay,San Francisco,/company/general-electric,General Electric,other,USA,CT,Fairfield,Fairfield,private-equity,6/1/2012,2012-06,2012-Q2,2012," $4,000,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/company/genting-berhad,Genting Berhad,,,,unknown,,series-c+,8/20/2013,2013-08,2013-Q3,2013," $28,000,000.00 "
no,biotech,USA,CA,SF Bay,Mountain View,/company/glaxo-group,Glaxo Group,biotech,GBR,,Brentford,Brentford,series-c+,3/22/2007,2007-03,2007-Q1,2007," $29,840,000.00 "
yes,biotech,USA,CA,SF Bay,South San Francisco,/company/glaxosmithkline,GlaxoSmithKline,biotech,,,unknown,,venture,11/29/2010,2010-11,2010-Q4,2010," $129,375,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/company/glaxosmithkline,GlaxoSmithKline,biotech,,,unknown,,series-b,12/13/2010,2010-12,2010-Q4,2010," $18,000,000.00 "
no,biotech,USA,MA,Boston,Lexington,/company/glaxosmithkline,GlaxoSmithKline,biotech,,,unknown,,venture,6/20/2011,2011-06,2011-Q2,2011," $4,000,000.00 "
no,biotech,USA,MA,Boston,Cambridge,/company/glaxosmithkline,GlaxoSmithKline,biotech,,,unknown,,venture,10/14/2011,2011-10,2011-Q4,2011," $4,000,000.00 "
no,biotech,USA,CA,Los Angeles,Valencia,/company/glaxosmithkline,GlaxoSmithKline,biotech,,,unknown,,series-a,8/8/2013,2013-08,2013-Q3,2013," $30,607,151.00 "
no,medical,USA,TX,Dallas,Dallas,/company/golf-ventures,Golf Ventures,,,,unknown,,series-a,9/3/2013,2013-09,2013-Q3,2013," $3,400,000.00 "
no,biotech,USA,CA,SF Bay,Mountain View,/company/google,Google,search,USA,CA,SF Bay,Mountain View,series-a,5/1/2007,2007-05,2007-Q2,2007," $9,000,000.00 "
no,biotech,USA,CA,SF Bay,Mountain View,/company/google,Google,search,USA,CA,SF Bay,Mountain View,series-b,6/18/2009,2009-06,2009-Q2,2009," $12,600,000.00 "
no,biotech,USA,CA,SF Bay,Foster City,/company/google,Google,search,USA,CA,SF Bay,Mountain View,venture,11/7/2007,2007-11,2007-Q4,2007," $25,000,000.00 "
no,medical,USA,TX,Dallas,Dallas,/company/green-park,Green Park,,,,unknown,,series-a,9/3/2013,2013-09,2013-Q3,2013," $3,400,000.00 "
no,biotech,USA,PA,Philadelphia,Philadelphia,/company/h-lundbeck,H. Lundbeck,,,,unknown,,venture,1/3/2012,2012-01,2012-Q1,2012,
no,biotech,USA,NY,New York,New York,/company/hambrecht-quist,Hambrecht & Quist,,,,unknown,,series-a,5/8/2009,2009-05,2009-Q2,2009," $21,000,000.00 "
no,biotech,USA,TN,Nashville,Brentwood,/company/hca,HCA,,,,unknown,,angel,9/19/2013,2013-09,2013-Q3,2013," $50,000.00 "
no,biotech,USA,TN,Nashville,Brentwood,/company/healthbox,Healthbox,other,USA,IL,Chicago,Chicago,angel,9/19/2013,2013-09,2013-Q3,2013," $50,000.00 "
no,biotech,USA,CA,San Diego,San Diego,/company/heliae,Heliae,biotech,USA,AZ,Phoenix,Gilbert,series-a,9/4/2013,2013-09,2013-Q3,2013," $5,000,000.00 "
no,health,USA,,SF Bay,"Redwood City,",/company/hopelab,HopeLab,games_video,USA,CA,SF Bay,Redwood City,venture,11/22/2010,2010-11,2010-Q4,2010," $1,000,000.00 "
no,biotech,USA,MI,Kalamazoo,Kalamazoo,/company/hopen-life-sciences,Hopen Life Sciences,,,,unknown,,series-c+,10/24/2010,2010-10,2010-Q4,2010," $23,500,000.00 "
no,biotech,USA,MA,Boston,Lexington,/company/horizon-technology-finance,Horizon Technology Finance,,,,unknown,,other,9/27/2013,2013-09,2013-Q3,2013," $7,000,000.00 "
no,biotech,USA,MO,Saint Louis,St. Louis,/company/innozed,In,enterprise,FIN,,Finland - Other,,series-c+,2/11/2009,2009-02,2009-Q1,2009," $11,800,000.00 "
