Organization/Person Name,Number of Investments,Location,Exit Date,Categories,Last Funding Date, Last Funding Amount Currency (in USD) ,Last Funding Type
Northwestern University,5,"Evanston, Illinois, United States",,"EdTech, Education, Health Care, Training, Universities",7/23/2019," $7,500,000.00 ",Grant
Stanford University,81,"Stanford, California, United States",,"Biotechnology, Communities, Computer, Education, Management Consulting, Market Research, Mobile Apps, Service Industry, Universities, Virtual Reality",7/22/2019," $5,000,000.00 ",Grant
Yale University,5,"New Haven, Connecticut, United States",,"Association, Biotechnology, Business Development, Education, Health Care, Medical, Social Entrepreneurship",7/22/2019," $2,200,000.00 ",Grant
University of North Carolina at Chapel Hill,3,"Chapel Hill, North Carolina, United States",,"Art, Education, Health Care, Higher Education, Search Engine, Universities",7/22/2019," $5,000,000.00 ",Grant
Apollo Hospitals Enterprise,3,"Chennai, Tamil Nadu, India",7/5/2002,"Health Care, Health Diagnostics, Medical",7/19/2019," $145,054,721.00 ",Post-IPO Debt
Asabys Partners,3,"Barcelona, Catalonia, Spain",,"Biopharma, Biotechnology, Health Care, Life Science, Medical, Medical Device, Pharmaceutical",7/17/2019,,Secondary Market
COFCO,2,"Beijing, Beijing, China",,"Agriculture, Biotechnology, Food Processing, Oil and Gas",7/16/2019," $2,100,000,000.00 ",Debt Financing
Galapagos,1,"Mechelen-bovelingen, Limburg, Belgium",10/5/2017,"Biopharma, Biotechnology, Clinical Trials, Medical",7/14/2019," $5,100,000,000.00 ",Post-IPO Equity
SleepCogni,,"Sheffield, Sheffield, United Kingdom",,"Fitness, Health Care, Manufacturing, Medical Device, Wellness",7/10/2019," $292,642.00 ",Grant
Sol Global investments,4,"Calgary, Alberta, Canada",1/4/2019,"Biotechnology, Health Care, Pharmaceutical",7/8/2019," $50,000,000.00 ",Post-IPO Debt
Lepu Bio,1,"Shanghai, Shanghai, China",,"Biotechnology, Health Care",7/2/2019," $131,000,000.00 ",Series A
4SC,2,"Planegg, Bayern, Germany",1/14/2011,"Biopharma, Biotechnology, Therapeutics",6/28/2019," $12,517,068.00 ",Post-IPO Equity
Miaoshou Doctor,2,"Beijing, Beijing, China",,"Health Care, Medical, mHealth",6/27/2019,,Series C
CureFit,1,"Bangalore, Karnataka, India",,"Apps, Fitness, Health Care, Wellness",6/25/2019," $120,000,000.00 ",Series D
Peptilogics,,"Pittsburgh, Pennsylvania, United States",,"Biotechnology, Health Care, Therapeutics",6/24/2019,,Venture - Series Unknown
Mapp Biopharmaceutical,1,"San Diego, California, United States",,"Biotechnology, Pharmaceutical, Therapeutics",6/23/2019," $16,500,000.00 ",Grant
Ajax Health,3,"Menlo Park, California, United States",,"Clinical Trials, Health Care, Medical Device",6/18/2019," $15,000,000.00 ",Series C
Evotec,7,"Hamburg, Hamburg, Germany",1/15/2014,"Biopharma, Biotechnology, Neuroscience, Pharmaceutical",6/10/2019," $23,800,000.00 ",Grant
CTRL USA,,"Atlanta, Georgia, United States",,"Apps, Artificial Intelligence, Commercial Real Estate, Health Care, Impact Investing, Legal, Media and Entertainment, Real Estate Investment, Stock Exchanges",6/7/2019," $7,500,000.00 ",Series A
Consumer Reports,,"Yonkers, New York, United States",,"Association, Consumer, Customer Service, Health Care, Non Profit",6/6/2019," $6,000,000.00 ",Grant
LabCorp,20,"Burlington, North Carolina, United States",7/15/1988,"Biotechnology, Education, Health Care, Innovation Management, Medical",6/4/2019," $850,000,000.00 ",Post-IPO Debt
OrganiGram,1,"Moncton, Ontario, Canada",8/29/2014,"Cannabis, Health Care, Medical",5/31/2019," $140,000,000.00 ",Post-IPO Debt
Tempus,3,"Chicago, Illinois, United States",,"Artificial Intelligence, Biotechnology, Clinical Trials, Health Care, Health Diagnostics, Information Technology, Medical, Software",5/30/2019," $200,000,000.00 ",Series F
Uala,1,"Milan, Lombardia, Italy",,"Beauty, Fitness, Health Care, Wellness",5/28/2019," $16,752,457.00 ",Series A
Domain Therapeutics,2,"Illkirch, Alsace, France",,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",5/28/2019," $3,908,906.00 ",Venture - Series Unknown
Aescuvest,,"Frankfurt, Hessen, Germany",,"Financial Services, Health Care, Venture Capital",5/23/2019," $1,266,300.00 ",Venture - Series Unknown
United States Agency for International Development,14,"Washington, District of Columbia, United States",,"Government, Health Care, Non Profit, Politics",5/21/2019," $3,000,000.00 ",Grant
Schrodinger,4,"New York, New York, United States",,"Biotechnology, Enterprise Software, Pharmaceutical",5/19/2019," $25,000,000.00 ",Series E
Baxter International,8,"Deerfield, Illinois, United States",1/13/1978,"Biotechnology, Clinical Trials, Medical",5/15/2019," $1,680,000,000.00 ",Post-IPO Debt
Abcam,,"Cambridge, Cambridgeshire, United Kingdom",9/5/2008,"Biotechnology, E-Commerce, Events, Medical",5/15/2019," $256,936,647.00 ",Post-IPO Equity
Debiopharm Group,17,"Lausanne, Vaud, Switzerland",,"Biotechnology, Medical, Medical Device, Pharmaceutical",5/14/2019," $2,100,000.00 ",Grant
Hackensack Meridian Health,2,"Edison, New Jersey, United States",,Health Care,5/10/2019," $33,300,000.00 ",Grant
BioTime,1,"Alameda, California, United States",9/10/2015,"Biotechnology, Health Care, Medical",5/10/2019," $2,528,807.00 ",Grant
Albany Medical College,,"Albany, New York, United States",,"Biotechnology, Consulting, Education, Financial Services, FinTech, Medical, Universities",5/8/2019," $2,000,000.00 ",Grant
Massachusetts Institute of Technology - MIT,8,"Cambridge, Massachusetts, United States",,"Art, Artificial Intelligence, Education, Health Care, Health Diagnostics, Innovation Management, Medical, Medical Device, Product Research, Training",4/30/2019," $4,500,000.00 ",Grant
LenoMed Medical,1,"Shanghai, Shanghai, China",,"Health Care, Medical Device",4/19/2019,,Series C
Transgene,1,"Illkirch-graffenstaden, Alsace, France",1/12/2001,"Biotechnology, Manufacturing, Pharmaceutical",4/2/2019," $22,406,704.00 ",Post-IPO Debt
Haldor Topsoe,2,"Kongens Lyngby, Hovedstaden, Denmark",,"Agriculture, Biotechnology, Energy, Life Science, Manufacturing, Renewable Energy, Robotics",3/12/2019,,Private Equity
"SMARTIFICIAL RESEARCH & TECHNOLOGY, INC",,"San Francisco, California, United States",,"Artificial Intelligence, Blockchain, Education, Health Care, Machine Learning, SaaS",3/7/2019," $55,000,000.00 ",Corporate Round
NeuroVive Pharmaceutical,1,"Lund, Skane Lan, Sweden",4/19/2013,"Biotechnology, Clinical Trials, Health Care",3/7/2019," $2,982,853.00 ",Post-IPO Equity
Add Health Media,8,"Kista, Stockholms Lan, Sweden",,"Advertising, Health Care",3/5/2019," $2,148,662.00 ",Venture - Series Unknown
Accelerace,45,"Copenhagen, Hovedstaden, Denmark",,"Artificial Intelligence, Biotechnology, Blockchain, CleanTech, FinTech, Internet of Things, Medical Device",3/1/2019,,Venture - Series Unknown
Huizhong Medical,1,"Haidian, Beijing, China",,"Health Care, Medical",2/21/2019,,Seed
Health Catalyst,1,"Salt Lake City, Utah, United States",7/24/2019,"Analytics, Computer, Enterprise Software, Health Care, Information Technology, Software",2/8/2019," $85,000,000.00 ",Debt Financing
Clover Health,,"Jersey City, New Jersey, United States",,"Health Care, Health Insurance, Hospital",1/29/2019," $500,000,000.00 ",Series E
BridgeBio,5,"Palo Alto, California, United States",6/26/2019,"Biotechnology, Life Science, Medical",1/23/2019," $299,200,000.00 ",Series D
Sustainable Ocean Alliance,3,"San Francisco, California, United States",,"Environmental Engineering, Health Care, Non Profit",1/23/2019," $1,500,000.00 ",Grant
Apollomics,1,"Santa Clara, California, United States",,"Alternative Medicine, Health Care, Pharmaceutical",1/8/2019," $100,000,000.00 ",Series B
Dollar Tree,1,"Chesapeake, Virginia, United States",3/17/1995,"E-Commerce, Family, Food and Beverage, Health Care, Retail, Service Industry",1/7/2019," $370,000,000.00 ",Post-IPO Equity
Apic Bio,1,"Cambridge, Massachusetts, United States",,"Biotechnology, Health Care, Life Science, Pharmaceutical",1/7/2019," $40,000,000.00 ",Series A
BrightGene,2,"Beijing, Beijing, China",,"Biopharma, Biotechnology",1/7/2019," $80,280,497.00 ",Venture - Series Unknown
23andMe,1,"Mountain View, California, United States",,"Biotechnology, Consumer, Genetics",1/5/2019,,Secondary Market
NLC - The Healthtech Venture Builder,6,"Amsterdam, Noord-Holland, The Netherlands",,"Health Care, Health Diagnostics, Medical, Medical Device, mHealth, Personal Health",1/4/2019," $1,139,550.00 ",Seed
Verily,7,"San Francisco, California, United States",,"Biotechnology, Data Mining, Health Care, Information Technology, Personal Health",1/3/2019," $1,000,000,000.00 ",Private Equity
Thousand Oaks Biopharmaceuticals,1,"Haimen, Guangdong, China",,"Biopharma, Health Care",1/1/2019," $43,614,160.00 ",Series A
Crystal Pharmatech,1,"Suzhou, Jiangsu, China",,Health Care,12/25/2018," $14,520,000.00 ",Series A
Safe Medical Evaluation,1,"Beijing, Beijing, China",,"Health Care, Medical, Pharmaceutical",12/12/2018,,Series C
Yuce Biological Technology,1,"Shenzhen, Guangdong, China",,"Biotechnology, Health Care",12/10/2018," $4,210,056.00 ",Series B
Novo Nordisk,8,"Bagsværd, Hovedstaden, Denmark",5/8/1981,"Biotechnology, Construction, Health Care, Manufacturing",12/5/2018," $22,000,000.00 ",Post-IPO Equity
Merck,17,"Kenilworth, New Jersey, United States",1/13/1978,"Biotechnology, Health Care, Medical",11/25/2018," $586,000.00 ",Post-IPO Equity
Mayo Clinic,36,"Rochester, Minnesota, United States",,"Biotechnology, Health Care, Medical, Non Profit",11/13/2018," $200,000,000.00 ",Grant
Roivant Sciences,2,"Basel, Basel-Stadt, Switzerland",,"Biopharma, Health Care, Pharmaceutical",11/13/2018," $200,000,000.00 ",Private Equity
Columbia Care,1,"New York, New York, United States",,"Cannabis, Health Care",11/12/2018," $46,000,000.00 ",Convertible Note
Alternate Health,1,"San Antonio, Texas, United States",1/25/2017,"Alternative Medicine, Health Care, Medical, Medical Device",11/8/2018," $20,000,000.00 ",Post-IPO Debt
Vanderbilt University,2,"Nashville, Tennessee, United States",,"E-Learning, Education, Health Care, Higher Education, Medical",11/7/2018," $4,500,000.00 ",Grant
CSPC Pharmaceutical Group,2,"Shijiazhuang, Hebei, China",,"Biotechnology, Manufacturing, Pharmaceutical, Therapeutics",10/31/2018,,Corporate Round
Penn Medicine,4,"Philadelphia, Pennsylvania, United States",,"Biotechnology, Education, Health Care, Medical, Training",10/30/2018," $17,500,000.00 ",Grant
Sarepta Therapeutics,2,"Cambridge, Massachusetts, United States",6/4/1997,"Biotechnology, Genetics, Health Care, Therapeutics",10/23/2018," $90,000,000.00 ",Post-IPO Equity
Compugen,2,"Tel Aviv, Tel Aviv, Israel",7/6/2000,"Cloud Computing, Health Care, Information Technology, Professional Services, Project Management",10/11/2018," $12,000,000.00 ",Post-IPO Equity
Beyond Meat,,"Manhattan Beach, California, United States",5/2/2019,"Food and Beverage, Food Processing, Health Care",10/5/2018," $50,000,000.00 ",Series H
aMoon Fund,12,"Ra'anana, HaMerkaz, Israel",,"Biotechnology, Financial Services, Health Care, Venture Capital",9/25/2018,,Series A
uBiome,1,"San Francisco, California, United States",,"Health Care, Machine Learning, Quantified Self",9/21/2018," $83,000,000.00 ",Series C
arGEN-X,1,"Rotterdam, Zuid-Holland, The Netherlands",5/17/2017,"Biotechnology, Clinical Trials, Therapeutics",9/19/2018," $300,600,000.00 ",Post-IPO Equity
Cyclops Medtech,1,"Bangalore, Karnataka, India",,"Health Care, Health Diagnostics, Internet of Things, Life Science, Machine Learning, Medical, Medical Device",9/19/2018," $1,000,000.00 ",Seed
BrainLAB,3,"Munich, Bayern, Germany",,"Health Care, Medical Device, Software",9/17/2018,,Private Equity
Viroad Biotechnology,1,"Shijiazhuang, Hebei, China",,"Biotechnology, Medical",9/14/2018," $14,600,000.00 ",Series B
Horizon Discovery,1,"Cambridge, Cambridgeshire, United Kingdom",3/28/2014,"Biopharma, Biotechnology, Genetics, Health Diagnostics",9/7/2018,,Post-IPO Equity
Georgia Tech Research Corporation,2,"Atlanta, Georgia, United States",,"Association, Biotechnology, Information Technology, Non Profit",9/5/2018," $1,200,000.00 ",Grant
FluidEdge Consulting,,"Malvern, Pennsylvania, United States",,"Consulting, Health Care, Information Technology",8/28/2018,,Private Equity
Cleveland BioLabs,2,"Buffalo, New York, United States",7/28/2006,"Biotechnology, Health Care, Medical",8/16/2018," $10,500,000.00 ",Post-IPO Equity
Canopy Growth,3,"Smiths Falls, Ontario, Canada",7/27/2016,"Cannabis, Health Care, Medical, Pharmaceutical",8/15/2018," $3,803,018,836.00 ",Post-IPO Equity
Neurotechnology Investors (NTI),1,"Palo Alto, California, United States",,"Health Care, Neuroscience, Service Industry",8/15/2018," $1,145,000.00 ",Venture - Series Unknown
Oscar Health,1,"New York, New York, United States",,"Health Care, Health Insurance, Information Technology, Insurance, InsurTech",8/14/2018," $375,000,000.00 ",Corporate Round
Johns Hopkins University,4,"Baltimore, Maryland, United States",,"EdTech, Education, Health Care, Higher Education, Mechanical Engineering, Social Entrepreneurship, Training, Universities",8/8/2018," $30,000,000.00 ",Grant
GoodRx,2,"Santa Monica, California, United States",,"Health Care, Medical, Pharmaceutical",8/6/2018,,Private Equity
Blueboard,,"San Francisco, California, United States",,"Enterprise Software, Health Care, Human Resources, Lifestyle",8/1/2018," $4,500,000.00 ",Seed
Oklahoma Medical Research Foundation,1,"Snyder, Oklahoma, United States",,"Biotechnology, Medical, Non Profit",7/31/2018," $934,000.00 ",Grant
ClassPass,,"New York, New York, United States",,"Consumer Applications, Fitness, Health Care, Subscription Service",7/25/2018," $85,000,000.00 ",Series D
Alector,1,"San Francisco, California, United States",2/7/2019,"Biotechnology, Genetics, Health Care, Therapeutics",7/25/2018," $133,000,000.00 ",Series E
NationalAccessCannabis,1,"Ottawa, Ontario, Canada",5/12/2016,"Association, Cannabis, Consulting, Fitness, Health Care, Non Profit",7/23/2018," $35,000,000.00 ",Post-IPO Debt
IndieBio,170,"San Francisco, California, United States",,"Biotechnology, Finance, Venture Capital",7/19/2018," $25,000,000.00 ",Grant
Kaiser Permanente,4,"Oakland, California, United States",,"Biotechnology, Health Care, Health Diagnostics, Medical",7/17/2018," $82,700.00 ",Grant
Hospital for Special Surgery,2,"New York, New York, United States",,"Health Care, Medical",7/16/2018," $5,600,000.00 ",Grant
Mesoblast,1,"Melbourne, Victoria, Australia",3/14/2013,"Biotechnology, Health Care, Health Diagnostics",7/3/2018," $50,000,000.00 ",Post-IPO Equity
AmWINS Group,1,"Charlotte, North Carolina, United States",9/16/2005,"Health Care, Insurance, Logistics",7/3/2018," $10,130,454.00 ",Venture - Series Unknown
Vivakor,1,"Irvine, California, United States",9/9/2009,"Biotechnology, Medical Device, Pharmaceutical",6/29/2018," $1,459,588.00 ",Venture - Series Unknown
Livzon Mabpharm,1,"Zhuhai, Guangdong, China",,"Biotechnology, Health Care",6/27/2018,,Series A
University of California Davis,2,"Davis, California, United States",,"Biotechnology, Education, Medical",6/26/2018,,Venture - Series Unknown
iSELECT FUND,44,"St Louis, Missouri, United States",,"Advanced Materials, AgTech, Biotechnology, Finance, Health Care, National Security, Venture Capital",6/15/2018,,Seed
Quantum Surgical,,"Chattanooga, Tennessee, United States",,"Health Care, Medical, Medical Device",6/3/2018,,Series A
WeDoctor,1,"Xiaoshan, Zhejiang, China",,"Health Care, Hospitality, Internet, Medical",5/30/2018,,Series F
The Pfizer Foundation,,"New York, New York, United States",,"Health Care, Medical Device, Therapeutics",5/30/2018," $5,000,000.00 ",Grant
Purdue Pharma,5,"Stamford, Connecticut, United States",,"Biotechnology, Health Care",5/29/2018," $1,800,000.00 ",Grant
Brii Biosciences,1,"San Francisco, California, United States",,"Biotechnology, Health Care, Innovation Management, Pharmaceutical",5/24/2018," $260,000,000.00 ",Venture - Series Unknown
MRL Ventures Fund,15,"Cambridge, Massachusetts, United States",,"Biotechnology, Health Care, Incubators",5/23/2018," $18,735,033.00 ",Series A
Integra LifeSciences,1,"Plainsboro, New Jersey, United States",8/25/1995,"Biotechnology, Life Science, Medical, Medical Device",5/15/2018," $350,000,000.00 ",Post-IPO Equity
Roswell Park Cancer Institute,1,"Buffalo, New York, United States",,"Clinical Trials, Health Care, Hospital",5/8/2018," $10,000,000.00 ",Grant
Be Relax,,"Paris, Ile-de-France, France",,"Fitness, Health Care, Wellness",5/8/2018," $23,734,731.00 ",Private Equity
"Lifetech Scientific Co, Ltd",1,"Shenzhen, Guangdong, China",11/18/2011,"Health Care, Medical, Medical Device",5/7/2018,,Post-IPO Equity
Marigold Capital,3,"Toronto, Ontario, Canada",,"Digital Media, Fashion, Fertility, Food and Beverage, Health Care, Journalism, Sex Industry, Sex Tech, Supply Chain Management, Training",5/5/2018," $369,434.00 ",Grant
Moderna Therapeutics,1,"Cambridge, Massachusetts, United States",12/6/2018,"Biotechnology, Genetics, Health Care, Medical, Pharmaceutical",5/3/2018," $125,000,000.00 ",Series H
Health2047,1,"Menlo Park, California, United States",,"Health Care, Hospital, Wellness",5/1/2018," $27,200,000.00 ",Venture - Series Unknown
The Data Guild,1,"San Francisco, California, United States",,"AgTech, Analytics, Artificial Intelligence, Big Data, Energy, Environmental Engineering, Health Care, Life Science, Machine Learning, Service Industry, Venture Capital",5/1/2018,,Seed
BioLife Solutions,4,"Bothell, Washington, United States",1/10/2003,"Biotechnology, Commercial, Industrial, Medical",4/30/2018," $2,600,000.00 ",Post-IPO Equity
Capital Cell,28,"Barcelona, Catalonia, Spain",,"Biotechnology, FinTech, Life Science, Medical, Medical Device, Pharmaceutical",4/28/2018," $1,105,453.00 ",Equity Crowdfunding
Fresenius Medical Care,8,"Bad Homburg, Hessen, Germany",9/9/1996,"Biotechnology, Health Care, Medical Device",4/24/2018," $4,820,444.00 ",Post-IPO Equity
Cancer Prevention and Research Institute of Texas,18,"Austin, Texas, United States",,"Consumer Research, Government, Health Care, Health Diagnostics, Market Research, Product Research",4/20/2018," $2,000,000.00 ",Grant
Georgia State University,,"Atlanta, Georgia, United States",,"Biotechnology, Business Development, Education, Universities",4/19/2018," $6,000,000.00 ",Grant
AVIA,1,"Chicago, Illinois, United States",,"Health Care, Innovation Management",4/18/2018," $7,193,956.00 ",Venture - Series Unknown
Bayer,12,"Leverkusen, Nordrhein-Westfalen, Germany",10/2/2009,"Biotechnology, Health Care, Life Science, Medical, Personal Health, Pharmaceutical",4/17/2018," $3,711,777,966.00 ",Post-IPO Equity
Millennium Blockchain,2,"Las Vegas, Nevada, United States",,"Blockchain, Financial Services, Health Care, Information Technology",4/16/2018," $5,000,000.00 ",Venture - Series Unknown
Nektar Therapeutics,1,"San Carlos, California, United States",5/13/1994,"Biotechnology, Health Care, Therapeutics",4/3/2018," $849,999,960.00 ",Post-IPO Equity
Twist Bioscience,1,"San Francisco, California, United States",10/30/2018,"Biotechnology, Chemical, Health Care",4/2/2018," $50,000,000.00 ",Venture - Series Unknown
OBVIOHEALTH,,"Singapore, Central Region, Singapore",,"Health Care, Health Diagnostics",3/23/2018," $3,000,000.00 ",Series A
Andiamo,1,"London, England, United Kingdom",,"3D Printing, Health Care, Medical",3/16/2018," $2,090,365.00 ",Seed
TRINITY,2,"Waltham, Massachusetts, United States",,"Biotechnology, Health Care, Marketplace, Pharmaceutical",3/16/2018,,Private Equity
Siemens,21,"Munich, Bayern, Germany",3/23/2001,"Consumer Electronics, Electrical Distribution, Electronics, Energy Efficiency, Health Care, Innovation Management, Manufacturing, Medical, Software",3/15/2018," $5,169,148,062.00 ",Post-IPO Equity
Tetra Bio-Pharma,1,"Ottawa, Ontario, Canada",6/27/2014,"Cannabis, Medical, Pharmaceutical",3/7/2018," $11,500,000.00 ",Post-IPO Equity
Wipro Technologies,9,"Bengaluru, Karnataka, India",9/29/2000,"Cloud Data Services, Consulting, Enterprise Software, Health Care, Information Services, Information Technology, Mobile, Outsourcing, Software",3/1/2018,,Undisclosed
Predible Health,1,"Bangalore, Karnataka, India",,"Biotechnology, Health Care, Medical Device",3/1/2018,,Seed
Boston Scientific,38,"Marlborough, Massachusetts, United States",5/29/1992,"Health Care, Manufacturing, Medical, Medical Device",2/27/2018," $1,000,000,000.00 ",Post-IPO Debt
Atrium Health,5,"Charlotte, North Carolina, United States",,"Health Care, Medical, Wellness",2/27/2018," $14,000,000.00 ",Grant
B.Grimm,1,"Bangkok, Krung Thep, Thailand",,"Health Care, Information Technology",2/26/2018," $235,000,000.00 ",Debt Financing
Novartis,36,"Basel, Basel-Stadt, Switzerland",5/19/2000,"Biotechnology, Health Care, Pharmaceutical",2/14/2018," $6,500,000.00 ",Grant
Teva Pharmaceutical Industries,9,"Petah Tiqva, HaMerkaz, Israel",2/26/1982,"Biotechnology, Health Care, Medical, Pharmaceutical",2/14/2018," $358,000,000.00 ",Post-IPO Equity
Boomtown Accelerators,132,"Boulder, Colorado, United States",,"Advertising, B2B, Health Care, Internet, Internet of Things, Mobile, Network Hardware, SaaS",2/14/2018," $850,000.00 ",Seed
Wellcome Trust,99,"London, England, United Kingdom",,"Biotechnology, Health Care, Medical, Non Profit",1/31/2018," $1,064,933,995.00 ",Debt Financing
StartUp Health,290,"New York, New York, United States",,"Biotechnology, Electronic Health Record (EHR), Fitness, Health Care, Health Diagnostics, Personal Health, Wellness",1/3/2018," $19,300,000.00 ",Venture - Series Unknown
Isodiol,1,"Vancouver, British Columbia, Canada",11/28/2016,"Cannabis, Fitness, Health Care, Nutraceutical",12/20/2017," $23,387,381.00 ",Post-IPO Equity
NEXT Canada,26,"Toronto, Ontario, Canada",,"Education, FinTech, Hardware, Health Care, Human Resources, Information Technology, Internet of Things, Mobile, Software",11/30/2017," $3,570,000.00 ",Grant
"University of California, Santa Barbara",4,"Santa Barbara, California, United States",,"Education, Energy, Health Care, Information Technology, Lighting, Manufacturing",11/28/2017," $3,400,000.00 ",Grant
Ipsen,9,"Boulogne-billancourt, Ile-de-France, France",12/16/2005,"Biotechnology, Manufacturing, Pharmaceutical, Product Research",11/20/2017," $29,134,596.00 ",Post-IPO Equity
Ruipeng Pet Medical Group,1,"Shenzhen, Guangdong, China",,"Beauty, Hospital, Medical",11/20/2017," $37,000,000.00 ",Corporate Round
ExploraMed,1,"Mountain View, California, United States",,"Health Care, Health Diagnostics, Medical Device",11/15/2017," $8,756,650.00 ",Venture - Series Unknown
Neurimmune Holding,2,"Schlieren, Zurich, Switzerland",,"Biotechnology, Information Technology, Pharmaceutical",10/25/2017," $150,000,000.00 ",Venture - Series Unknown
Insight Partners,368,"New York, New York, United States",,"Artificial Intelligence, Cyber Security, Education, Finance, FinTech, Health Care, Internet, SaaS, Software, Venture Capital",10/24/2017,,Private Equity
Aphria,3,"Leamington, Ontario, Canada",12/30/2011,"Alternative Medicine, Cannabis, Medical, Pharmaceutical",10/17/2017," $73,610,126.00 ",Undisclosed
CASI Pharmaceuticals,1,"Rockville, Maryland, United States",6/21/1996,"Biotechnology, Health Care, Medical, Pharmaceutical",10/16/2017," $2,380,000.00 ",Post-IPO Equity
3T Biosciences,,"Menlo Park, California, United States",,"Biopharma, Biotechnology, Health Care",10/4/2017," $12,000,000.00 ",Seed
National Institutes of Health,342,"Bethesda, Maryland, United States",,"Biotechnology, Financial Services, Health Diagnostics, Marketing, Medical, Medical Device, Rehabilitation",9/28/2017,,Series A
Integra Holdings,7,"Wallisellen, Zurich, Switzerland",,"Biotechnology, Business Development, Information Technology",9/27/2017," $25,000,000.00 ",Venture - Series Unknown
Dawson James Securities,1,"Boca Raton, Florida, United States",,"Biotechnology, CleanTech, Health Care",9/25/2017," $350,000.00 ",Seed
Kaycha Group,,"Florida, New York, United States",,"Cannabis, Medical, Real Estate Investment",9/7/2017," $400,000.00 ",Seed
The Howard Hughes Medical Institute,3,"Chevy Chase, Maryland, United States",,"Clinical Trials, Health Care, Medical, Medical Device",8/31/2017," $1,000,000.00 ",Grant
Herb,,"Denver, Colorado, United States",,"Cannabis, Health Care, Medical, Wellness",8/28/2017," $4,099,999.00 ",Seed
Masimo,2,"Irvine, California, United States",8/8/2007,"Biotechnology, Manufacturing, Medical Device",8/26/2017,,Post-IPO Equity
Genesis Innovation Group,5,"Missoula, Montana, United States",,"Biotechnology, Health Care",8/14/2017," $1,100,000.00 ",Venture - Series Unknown
Integrity Applications,1,"Ashkelon, HaDarom, Israel",3/2/2013,"Health Care, Medical Device, Wellness",8/2/2017," $12,000,000.00 ",Post-IPO Equity
Greenspace,1,"Toronto, Ontario, Canada",,"Health Care, Information Technology, Product Research",7/25/2017," $1,400,000.00 ",Seed
Radiant Life Care Private Ltd,1,"Mumbai, Maharashtra, India",,"Health Care, Hospital, Medical",7/18/2017," $200,000,000.00 ",Private Equity
Equinox Fitness,1,"New York, New York, United States",,"Fitness, Health Care, Lifestyle",7/11/2017,,Private Equity
